category,brand,model,product,price,source_key
MotherBoard,GIGABYTE,B760,GIGABYTE B760M H DDR4,2990,motherboard_gigabyte_b760m_h_ddr4
MotherBoard,GIGABYTE,B760,GIGABYTE B760M GAMING DDR4,3690,motherboard_gigabyte_b760m_gaming_ddr4
MotherBoard,GIGABYTE,B760,GIGABYTE B760M GAMING PLUS WIFI DDR4,3790,motherboard_gigabyte_b760m_gaming_plus_wifi_ddr4
MotherBoard,MSI,B760,MSI PRO B760M-E DDR4,2590,motherboard_msi_pro_b760m_e_ddr4
MotherBoard,MSI,B760,MSI PRO B760M-B DDR4,2790,motherboard_msi_pro_b760m_b_ddr4
MotherBoard,MSI,B760,MSI PRO B760M-P DDR4,2990,motherboard_msi_pro_b760m_p_ddr4
MotherBoard,MSI,B760,MSI B760M BOMBER DDR4,2790,motherboard_msi_b760m_bomber_ddr4
MotherBoard,MSI,B760,MSI B760M BOMBER WIFI DDR4,3190,motherboard_msi_b760m_bomber_wifi_ddr4
MotherBoard,ASUS,B760,ASUS B760M-AYW WIFI,3090,motherboard_asus_b760m_ayw_wifi
MotherBoard,ASUS,B760,ASUS PRIME B760M-F-CSM,2990,motherboard_asus_prime_b760m_f_csm
MotherBoard,ASUS,B760,ASUS PRIME B760M-K-CSM,2990,motherboard_asus_prime_b760m_k_csm
MotherBoard,ASUS,B760,ASUS PRIME B760M-A-CSM,3190,motherboard_asus_prime_b760m_a_csm
MotherBoard,ASUS,B760,ASUS PRIME B760M-A WIFI-CSM,3990,motherboard_asus_prime_b760m_a_wifi_csm
MotherBoard,ASUS,B760,ASUS TUF GAMING B760M-PLUS WIFI II,4490,motherboard_asus_tuf_gaming_b760m_plus_wifi_ii
MotherBoard,ASUS,B760,ASUS TUF GAMING B760-PLUS WIFI,4590,motherboard_asus_tuf_gaming_b760_plus_wifi
MotherBoard,ASUS,B760,ASUS ProArt B760-CREATOR WIFI,5990,motherboard_asus_proart_b760_creator_wifi
MotherBoard,ASUS,B760,ASUS ROG STRIX B760-A GAMING WIFI,4990,motherboard_asus_rog_strix_b760_a_gaming_wifi
MotherBoard,GIGABYTE,B760,GIGABYTE B760M E,2990,motherboard_gigabyte_b760m_e
MotherBoard,GIGABYTE,B760,GIGABYTE B760M H V2,2990,motherboard_gigabyte_b760m_h_v2
MotherBoard,GIGABYTE,B760,GIGABYTE B760M DS3H GEN5,3990,motherboard_gigabyte_b760m_ds3h_gen5
MotherBoard,GIGABYTE,B760,GIGABYTE B760M DS3H WIFI6E GEN5,4490,motherboard_gigabyte_b760m_ds3h_wifi6e_gen5
MotherBoard,GIGABYTE,B760,GIGABYTE B760M DS3H AX,4490,motherboard_gigabyte_b760m_ds3h_ax
